corrente(mA),tensione(mV)
1.23,2.2
2.4,4.8
4.96,11
5.48,12.27
7.27,16.65
8.42,19.4
10.53,24.5
12.43,29
14.74,34.34
16.36,37.9
17.7,40.7
19.47,44.3
