corrente(mA),tensione(mV)
0.56,1.8
2.65,10.9
4.23,18.6
5.73,25.88
7.7,35.6
9.12,42.42
10.82,50.6
13.36,62.2
15.24,70.6
16.57,76.2
18.5,84.5
