corrente(mA),tensione(mV)
1.4,17.78
3.36,70.9
5.38,120
8.43,194
9.34,214.4
11.6,265
13.63,302
15.06,321.5
16.6,338.9
17.65,347.8
18.09,353
19.26,359.4
