numero_foglietti(V=6.0V),tensione-rossi(mV),tensione-gialli(mV),tensione-blu(mV)
0,94,94,94
1,38,61,69
2,18,35,51
3,8.6,25,38
4,4.16,16,26
5,3.2,13,18
6,2.3,10,17
7,2.16,8,12
