frequenza(Hz),tensione(mV)
100.5,468
200.3,468
506,464
1016,464
2020,472
5062,472
10310,472
20130,468
50300,160
23130,460
31210,400
35650,332
40230,252
45220,196
71228,108
100900,80
200800,52
500100,28
